predictor,evento,fecha_evento,a,b,pick,metodo,round,confianza,origen,revisado
FaceOff MMA,UFC Fight Night: Song vs. Figueiredo,2026-05-30,Alex Perez,Sumudaerji,b,,,,manual,True
FaceOff MMA,UFC Fight Night: Song vs. Figueiredo,2026-05-30,YiSak Lee,Luis Felipe Dias,b,,,,manual,True
FaceOff MMA,UFC Fight Night: Song vs. Figueiredo,2026-05-30,Aoriqileng,Cody Haddon,b,,,,manual,True
FaceOff MMA,UFC Fight Night: Song vs. Figueiredo,2026-05-30,Rei Tsuruya,Luis Gurule,a,,,,manual,True
FaceOff MMA,UFC Fight Night: Song vs. Figueiredo,2026-05-30,Angela Hill,Xiong Jingnan,b,,,,manual,True
FaceOff MMA,UFC Fight Night: Song vs. Figueiredo,2026-05-30,Zhu Kangjie,Rodrigo Vera,b,,,,manual,True
FaceOff MMA,UFC Fight Night: Song vs. Figueiredo,2026-05-30,Loma Lookboonmee,Jaqueline Amorim,b,,,,manual,True
FaceOff MMA,UFC Fight Night: Allen vs. Costa,2026-05-16,Arnold Allen,Melquizael Costa,a,,,,manual,True
FaceOff MMA,UFC Fight Night: Allen vs. Costa,2026-05-16,Dooho Choi,Daniel Santos,b,,,,manual,True
FaceOff MMA,UFC Fight Night: Allen vs. Costa,2026-05-16,Malcolm Wellmaker,Juan Diaz,a,,,,manual,True
FaceOff MMA,UFC Fight Night: Allen vs. Costa,2026-05-16,Modestas Bukauskas,Christian Edwards,a,,,,manual,True
FaceOff MMA,UFC Fight Night: Allen vs. Costa,2026-05-16,Timmy Cuamba,Benardo Sopaj,b,,,,manual,True
FaceOff MMA,UFC Fight Night: Allen vs. Costa,2026-05-16,Nikolay Veretennikov,Khaos Williams,a,,,,manual,True
FaceOff MMA,UFC Fight Night: Allen vs. Costa,2026-05-16,Tuco Tokkos,Ivan Erslan,a,,,,manual,True
FaceOff MMA,UFC Fight Night: Allen vs. Costa,2026-05-16,Tommy Gantt,Artur Minev,a,,,,manual,True
FaceOff MMA,UFC Fight Night: Allen vs. Costa,2026-05-16,Ketlen Vieira,Jacqueline Cavalcanti,b,,,,manual,True
FaceOff MMA,UFC Fight Night: Allen vs. Costa,2026-05-16,Cody Brundage,Andre Petroski,b,,,,manual,True
FaceOff MMA,UFC Fight Night: Allen vs. Costa,2026-05-16,Alice Ardelean,Polyana Viana,a,,,,manual,True
FaceOff MMA,UFC Fight Night: Allen vs. Costa,2026-05-16,Daniel Barez,Luis Gurule,b,,,,manual,True
FaceOff MMA,UFC Fight Night: Allen vs. Costa,2026-05-16,Shauna Bannon,Nicolle Caliari,b,,,,manual,True
FaceOff MMA,UFC 328: Chimaev vs. Strickland,2026-05-09,Khamzat Chimaev,Sean Strickland,a,,,,manual,True
FaceOff MMA,UFC 328: Chimaev vs. Strickland,2026-05-09,Joshua Van,Tatsuro Taira,b,,,,manual,True
FaceOff MMA,UFC 328: Chimaev vs. Strickland,2026-05-09,Alexander Volkov,Waldo Cortes Acosta,a,,,,manual,True
FaceOff MMA,UFC 328: Chimaev vs. Strickland,2026-05-09,Sean Brady,Joaquin Buckley,b,,,,manual,True
FaceOff MMA,UFC 328: Chimaev vs. Strickland,2026-05-09,King Green,Jeremy Stephens,a,,,,manual,True
FaceOff MMA,UFC 328: Chimaev vs. Strickland,2026-05-09,Ateba Gautier,Ozzy Diaz,a,,,,manual,True
FaceOff MMA,UFC 328: Chimaev vs. Strickland,2026-05-09,Joel Alvarez,Yaroslav Amosov,b,,,,manual,True
FaceOff MMA,UFC 328: Chimaev vs. Strickland,2026-05-09,Grant Dawson,Mateusz Rebecki,a,,,,manual,True
FaceOff MMA,UFC 328: Chimaev vs. Strickland,2026-05-09,Jim Miller,Jared Gordon,b,,,,manual,True
